,dt,open,close,high,low,vol,ts,close_nxt30min,close_diff_nxt30min,close_diffrate_nxt30min,label1,k,d,j,duanxian,pianliEMA,pianli,atr,obv,m5,m10,predict_score
7933,2024-02-01 00:44:00,53.315,53.315,53.32,53.295,112396,1706719440,53.58,0.26500000000000057,0.004970458595142091,True,69.22794836633958,62.19642298919042,83.29099912063789,25.480593034016024,0.0003015947907928535,0.00012502522409921148,0.051857142857141776,-10460274,-10369343.312921815,-9935696.922103288,0.5743014
7934,2024-02-01 00:45:00,53.337,53.38,53.405,53.337,134684,1706719500,53.55,0.1699999999999946,0.003184713375796077,True,69.35693785509531,62.67379064691741,82.72323227145111,35.75825006588184,0.0005601396739401763,0.001077229440234822,0.05349999999999915,-10325590,-10354758.875281211,-9950986.846726688,0.5743014
7935,2024-02-01 00:46:00,53.357,53.434,53.434,53.357,61776,1706719560,53.57,0.13600000000000279,0.002545195942658285,False,70.06265489207175,63.16638159659437,83.8552014830265,52.41332021696874,0.001227782702985332,0.002563068761075644,0.0559285714285705,-10263814,-10324443.916854141,-9963254.578227602,0.5206971
7937,2024-02-01 00:48:00,53.465,53.458,53.465,53.435,97276,1706719680,53.54,0.08200000000000074,0.0015339144749149003,False,72.9712301208186,64.36856983251718,90.17655069742145,75.4833290446816,0.0032345526436820264,0.005027940622100457,0.05742857142857056,-10143550,-10202330.40749073,-9973452.977441166,0.5206971
7939,2024-02-01 00:50:00,53.37,53.385,53.385,53.355,96504,1706719800,53.519,0.13400000000000034,0.0025100683712653434,False,72.14930309053776,65.39918311596863,85.64954303967602,51.46632237680855,0.0034538753842709964,0.0033241877669881654,0.0606428571428569,-10420466,-10302071.514440326,-10004189.314431464,0.52532876
7940,2024-02-01 00:51:00,53.4,53.372,53.4,53.345,68160,1706719860,53.515,0.14300000000000068,0.0026793075020610188,False,71.48452624648854,65.80487265800329,82.84383342345905,36.40412034569161,0.003154064107398184,0.0025544415536525584,0.06099999999999994,-10488626,-10364256.342960218,-10023186.831512583,0.578834
7941,2024-02-01 00:52:00,53.38,53.36,53.38,53.35,41564,1706719920,53.534,0.1739999999999995,0.0032608695652173816,True,70.63484149767775,66.12687058064826,79.65078333173673,21.29299124210324,0.0027066583281221187,0.0018118467695699874,0.05785714285714302,-10530190,-10419567.561973479,-10043069.308708169,0.5743014
7942,2024-02-01 00:53:00,53.393,53.3,53.393,53.3,108432,1706719980,53.503,0.20300000000000296,0.0038086303939963034,True,68.69567059363004,66.29812391484705,73.49076395119602,4.550790069303389,0.0019036441931224101,0.0002976159231229921,0.061428571428571895,-10638622,-10492585.70798232,-10066424.31620981,0.5913993
7943,2024-02-01 00:54:00,53.285,53.22,53.285,53.22,128256,1706720040,53.495,0.2749999999999986,0.0051672303645245886,True,64.34271659033585,66.1677634265463,60.692622917914974,-9.90181405064061,0.0005988473077036996,-0.002010746463133722,0.06321428571428608,-10766878,-10584016.471988214,-10093893.08812315,0.5913993
7947,2024-02-01 00:58:00,53.41,53.439,53.439,53.403,100528,1706720280,53.58,0.14099999999999824,0.0026385224274406,False,63.87075662331818,65.3546032366792,60.90306339659614,55.62100500437339,0.0008645056427630884,0.002260183695800516,0.0700714285714297,-10210090,-10392752.414219895,-10140850.412642201,0.52532876
7948,2024-02-01 00:59:00,53.445,53.44,53.449,53.41,91572,1706720340,53.611,0.17099999999999937,0.003199850299401186,True,64.77702543058992,65.31609804960658,63.6988801925566,70.98249446242774,0.0015523087852584898,0.002927915070249292,0.06642857142857242,-10118518,-10301340.942813264,-10139974.631754272,0.52532876
7949,2024-02-01 01:00:00,53.425,53.425,53.428,53.385,51644,1706720400,53.58,0.15500000000000114,0.0029012634534394226,False,65.27076364132051,65.31307575572085,65.18613941251985,77.77988627108775,0.0020487001978210725,0.0030414830229462367,0.06485714285714396,-10170162,-10257614.628542177,-10141158.450116849,0.52532876
7950,2024-02-01 01:01:00,53.422,53.415,53.425,53.415,50192,1706720460,53.6,0.18500000000000227,0.0034634465973977773,True,65.49684418729824,65.32532698449268,65.83987859290937,78.85632615125327,0.0023274291015459997,0.002884886908995853,0.060214285714286477,-10220354,-10245194.419028118,-10144264.157955403,0.52532876
