,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,close_nxt30min,close_diff_nxt30min,close_diffrate_nxt30min,label1,k,d,j,duanxian,pianliEMA,pianli,atr,obv,m5,m10,predict_score,ts_diff
5207,2024/3/21 0:34,59.56,59.53,59.56,59.53,118544,1710952440,,,,,,,,,,,47.87934778,42.21796271,74.88299823,59.717,0.187,0.003141273,TRUE,46.08134908,45.17927699,47.88549325,12.01107115,7.51E-05,-0.001803528,0.0565,-4648820,-4576833.964,-4491495.867,0.5315014,1800
5212,2024/3/21 1:10,59.695,59.69,59.695,59.68,75486,1710954600,,,,,,,,,,,90.18408369,45.48471883,77.04324115,59.484,-0.206,-0.003451164,FALSE,77.32449381,70.89438476,90.18471192,35.11171457,0.001212052,0.000285302,0.036142857,-4198334,-4131394.844,-4241581.518,0.5360209,2160
5242,2024/3/21 1:40,59.51,59.484,59.51,59.48,101474,1710956400,,,,,,,,,,,6.138459607,24.23039604,77.40315118,60.155,0.671,0.011280344,TRUE,32.96277336,46.37488452,6.138551045,-3.042569587,-0.002199226,-0.002948191,0.042714286,-4555716,-4477747.059,-4373899.105,0.5315014,1800
5254,2024/3/21 21:33,63.65,63.56,63.67,63.56,382392,1711027980,,,,,,,,,,,58.79694414,100.8903854,96.8236396,63.369,-0.191,-0.003005035,FALSE,,,,,-4.71E-05,-0.000506177,,-4726737,-4668362.333,-4767579.998,0.50283813,71580
5260,2024/3/22 0:38,63.83,63.77,63.83,63.72,271940,1711039080,,,,,,,,,,,67.56761038,102.4493836,108.8787789,63.614,-0.156,-0.002446291,FALSE,76.33229289,80.70149342,67.59389183,11.15749671,0.001218614,-3.46E-05,0.051,-3897346,-3763559.441,-3982521.431,0.5156547,11100
5289,2024/3/22 1:08,63.65,63.614,63.65,63.611,40664,1711040880,,,,,,,,,,,8.194790008,99.88072491,110.4698204,63.44,-0.174,-0.002735247,FALSE,37.84870618,52.67364119,8.198836158,27.04152631,-0.004181778,-0.004605476,0.047714286,-4095418,-4100275.287,-4075222.183,0.5360209,1800
5319,2024/3/22 1:38,63.4,63.44,63.44,63.4,65168,1711042680,,,,,,,,,,,-3.641937605,63.72173509,111.07033,62.93,-0.51,-0.008039092,FALSE,15.37105162,24.87724488,-3.641334908,16.61754543,-0.005767309,-0.005395647,0.047928571,-4603098,-4659662.912,-4370084.578,0.54075736,1800
5347,2024/3/22 2:08,62.995,62.93,62.995,62.93,63916,1711044480,,,,,,,,,,,5.349722731,17.09100979,110.0824497,62.65,-0.28,-0.004449388,FALSE,11.79723825,15.02095216,5.349810413,24.32410241,-0.010111515,-0.009780857,0.061285714,-5683582,-5654561.051,-5047819.301,0.5225456,1800
5371,2024/3/22 2:38,62.635,62.65,62.65,62.535,161112,1711046280,,,,,,,,,,,30.1319182,-8.586132352,109.0998055,62.65,0,0,FALSE,23.62046166,20.36472713,30.13193074,-21.22980323,-0.006999123,-0.010511975,0.076857143,-5963450,-5842862.433,-5420632.996,0.51363444,1800
5381,2024/3/22 21:43,62.14,62.13,62.175,62.13,238479,1711114980,,,,,,,,,,,20.36130075,-9.048842395,92.09084483,62.32,0.19,0.003058104,TRUE,,,,11.71939626,0.001660692,0.000467355,,-4790667,-4537080.933,-4049548.724,0.52160245,68700
5393,2024/3/22 22:15,62.325,62.185,62.325,62.185,122585,1711116900,,,,,,,,,,,46.01225588,-0.419505232,89.35661364,61.99,-0.195,-0.003135804,FALSE,31.35518158,31.35518158,31.35518158,0.24731367,0.002546474,0.000219605,0.078357143,-4137743,-3906716.506,-4037411.312,0.5315014,1920
5422,2024/3/22 22:45,62.06,61.99,62.06,61.99,67382,1711118700,,,,,,,,,,,1.881485909,2.747151885,87.04888871,62.355,0.365,0.005888046,TRUE,23.04006749,32.36116791,4.397866666,5.534206503,-0.005881971,-0.005940304,0.064071429,-4325116,-4300583.961,-4097007.045,0.5360209,1800
5440,2024/3/22 23:41,62.31,62.365,62.365,62.3,127768,1711122060,,,,,,,,,,,99.87820838,34.12916465,83.12231749,62.48,0.115,0.001843983,TRUE,79.76278113,69.59310741,100.1021286,9.102729732,0.002272444,0.000584086,0.055642857,-3786670,-3802639.754,-3912102.185,0.5315014,3360
5453,2024/3/23 0:11,62.385,62.48,62.48,62.385,75298,1711123860,,,,,,,,,,,50.30029988,51.77995085,82.24899101,62.39,-0.09,-0.001440461,FALSE,63.42934757,69.9739564,50.34012992,3.78381858,0.000347081,0.000321778,0.054857143,-3921002,-3940780.419,-3831048.521,0.5360209,1800
5478,2024/3/23 0:41,62.386,62.39,62.406,62.386,99758,1711125660,,,,,,,,,,,21.19079716,57.00298755,81.29063021,62.806,0.416,0.006667735,TRUE,39.71803803,48.97841489,21.1972843,45.44853378,-0.002092442,-0.001477034,0.052214286,-4018132,-4095927.794,-4006539.63,0.5315014,1800
5481,2024/3/26 2:17,62.556,62.565,62.57,62.555,133858,1711390620,,,,,,,,,,,98.39934349,105.3814791,53.09096773,62.53,-0.035,-0.000559418,FALSE,87.07871175,81.41841781,98.39929964,87.657871,0.005032713,0.004908809,0.031071429,-1204564,-1098007.732,-1250490.429,0.5234919,264960
5488,2024/3/27 0:56,62.33,62.326,62.345,62.315,129388,1711472160,,,,,,,,,,,-9.383559142,37.21643064,54.8932744,62.39,0.064,0.001026859,TRUE,15.29106215,27.62730036,-9.38141427,-12.45201025,-0.004065261,-0.004594705,0.046214286,-3768328,-3804796.611,-3553020.381,0.5315014,81540
5510,2024/3/27 1:26,62.39,62.39,62.39,62.37,38588,1711473960,,,,,,,,,,,69.66404611,21.20264551,51.53752291,62.396,0.006,9.62E-05,TRUE,46.28270085,34.59186306,69.66437644,13.72891962,-0.000551913,-0.000457388,0.032142857,-3587176,-3622466.652,-3597075.572,0.52772063,1800
5532,2024/3/27 1:56,62.355,62.396,62.396,62.355,61254,1711475760,,,,,,,,,,,36.00422024,8.001513773,48.84974101,62.45,0.054,0.00086544,TRUE,47.16746788,52.74906709,36.00426946,55.01213004,-0.001978545,-0.000774771,0.045714286,-3493188,-3573272.511,-3597088.191,0.5360209,1800
5540,2024/3/27 3:34,61.79,61.74,61.85,61.74,383936,1711481640,,,,,,,,,,,-13.2078161,4.402123503,38.90072927,,,,FALSE,13.32559084,26.59229426,-13.20781602,-23.35296651,-0.011133445,-0.014591677,0.065785714,-5333176,-4791337.81,-3587536.709,0.51208824,5880
5566,2024/3/27 21:37,61.991,61.89,61.991,61.83,363972,1711546620,,,,,,,,,,,56.65822885,4.31736251,37.634471,60.995,-0.895,-0.014461141,FALSE,,,,-0.454418398,-0.010446753,-0.01550202,,-5133940,-4583635.16,-3577611.34,0.51083374,64980
5589,2024/3/27 22:15,61.003,61.015,61.07,61.003,183271,1711548900,,,,,,,,,,,-1.554676602,11.11510462,31.11601464,61.125,0.11,0.001802835,TRUE,15.15957447,15.15957447,15.15957447,17.04688786,-0.02311769,-0.020198108,0.139642857,-6961121,-7072084.413,-5885283.857,0.52143973,2280
5609,2024/3/27 23:33,60.86,60.83,60.9,60.83,113048,1711553580,,,,,,,,,,,5.529020774,13.13682177,15.12117467,61.02,0.19,0.003123459,TRUE,24.57924759,34.03940032,5.658942135,-30.46701523,-0.004827591,-0.00718639,0.064214286,-8784768,-8686511.458,-8152377.714,0.513253,4680
5613,2024/3/28 3:12,60.955,60.935,60.975,60.9,162844,1711566720,,,,,,,,,,,-1.215448506,69.84881448,3.294275899,61.76,0.825,0.013539017,TRUE,25.10043544,38.25837737,-1.21544843,18.55865395,-0.003200567,-0.005748786,0.057357143,-9427372,-9157743.045,-8559582.192,0.51363444,13140
5629,2024/4/2 1:25,61.33,61.24,61.335,61.24,153384,1711992300,,,,,,,,,,,-27.88821139,12.0202387,53.48392663,61.515,0.275,0.004490529,TRUE,17.03535847,39.49717131,-27.88826722,-46.00852663,-0.008932555,-0.010718802,0.0525,-4325128,-4089307.876,-3579033.637,0.5415434,425580
5649,2024/4/2 1:55,61.49,61.515,61.52,61.47,74448,1711994100,,,,,,,,,,,83.78870659,11.99523008,51.42989377,61.74,0.225,0.003657644,TRUE,54.21886367,39.4339461,83.78869881,9.171613119,0.001067969,0.000323635,0.054642857,-3657624,-3725563.339,-3758702.299,0.5360209,1800
5656,2024/4/2 2:46,61.695,61.685,61.7,61.665,50164,1711997160,,,,,,,,,,,82.36309284,60.86994041,50.42762045,61.735,0.05,0.00081057,TRUE,79.36518708,77.86623434,82.36309257,24.79325695,0.001246654,0.000632282,0.041642857,-3831572,-3796168.358,-3780435.708,0.5360209,3060
5668,2024/4/2 3:20,61.676,61.699,61.699,61.66,122136,1711999200,,,,,,,,,,,60.42629509,88.32377469,50.05748999,61.705,0.006,9.72E-05,TRUE,65.74640566,68.40646096,60.42629507,35.97634382,0.00124272,0.000661133,0.046428571,-3800144,-3763908.852,-3741784.858,0.5315014,2040
5686,2024/4/2 22:15,59.15,59.149,59.17,59.11,158520,1712067300,,,,,,,,,,,-6.292636194,18.82600813,36.1277083,59.435,0.286,0.004835247,TRUE,1.313131313,1.313131313,1.313131313,-24.44849682,-0.008460078,-0.011373928,0.117785714,-9834262,-9515056.107,-8133004.637,0.52143973,68100
5699,2024/4/4 21:32,62.28,62.31,62.31,62.264,356396,1712237520,,,,,,,,,,,89.43909353,10.56651595,59.3296294,62.14,-0.17,-0.002728294,FALSE,,,,,9.56E-05,0.000286728,,-3517179,-3754776.333,-3859598.686,0.5030203,170220
5700,2024/4/5 2:18,61.01,60.995,61.08,60.995,215124,1712254680,,,,,,,,,,,-3.003579609,21.6211123,101.531185,59.66,-1.335,-0.02188704,FALSE,6.676510275,11.51654568,-3.003560531,-44.21140489,-0.026695866,-0.028563183,0.110714286,-7238070,-6663469.419,-3658703.83,0.5274542,17160
5729,2024/4/5 2:48,59.71,59.66,59.77,59.66,344600,1712256480,,,,,,,,,,,9.806907078,-10.86299453,94.28687315,58.535,-1.125,-0.018856856,FALSE,8.989436902,8.580700456,9.806909795,10.16301191,-0.029824817,-0.028952818,0.173357143,-8417994,-8346744.687,-6968147.478,0.50919366,1800
5759,2024/4/5 3:18,58.78,58.535,58.78,58.535,435528,1712258280,,,,,,,,,,,3.089671388,-24.45235161,82.12236995,58.122,-0.413,-0.007055608,FALSE,5.896285821,7.299592847,3.08967177,-13.49409165,-0.022917057,-0.02400946,0.169928571,-8991046,-8874410.083,-8365856.468,0.531191,1800
5789,2024/4/5 3:48,58.1,58.122,58.14,58.09,310984,1712260080,,,,,,,,,,,13.32102655,-28.82334951,70.12082203,,,,FALSE,8.285337421,5.767492829,13.3210266,43.57975218,-0.015292746,-0.011755445,0.106428571,-9192578,-9049051.888,-8882893.415,0.50919366,1800
5801,2024/4/5 23:15,59.62,59.65,59.66,59.6,145648,1712330100,,,,,,,,,,,73.33792567,42.17521622,36.21286159,60.2,0.55,0.009220453,TRUE,78.1230273,81.25146084,71.86616021,2.544642805,0.002838952,-0.000497456,0.094357143,-3865554,-3749476.598,-3857548.37,0.5275083,70020
5816,2024/4/8 21:34,59.99,60.015,60.015,59.965,284174,1712583240,,,,,,,,,,,63.63486435,14.12543674,27.37293,59.89,-0.125,-0.002082813,FALSE,,,,,0.000190064,-0.000583987,,-3999680,-3727253.481,-3662111.775,0.52160245,253140
5839,2024/4/8 22:08,59.847,59.735,59.847,59.72,212038,1712585280,,,,,,,,,,,38.00118368,12.99553239,27.46143906,60.55,0.815,0.013643593,TRUE,,,,-5.341027869,0.000732128,-0.001545741,0.093571429,-4278385,-4089478.028,-3964895.832,0.53172225,2040
5840,2024/4/9 1:27,59.92,59.89,59.92,59.88,32864,1712597220,,,,,,,,,,,22.88833615,41.41499622,32.36276471,59.92,0.03,0.000500918,TRUE,52.65197988,67.53400892,22.8879218,47.21172423,-0.001525947,-0.00144,0.048071429,-3766246,-3763152.39,-3553365.497,0.5360209,11940
5865,2024/4/9 1:57,59.863,59.92,59.92,59.863,73548,1712599020,,,,,,,,,,,12.4918042,32.45190336,32.80826923,60.079,0.159,0.002653538,TRUE,29.59573589,38.14773209,12.49174348,71.33873784,-0.001595618,0.000226503,0.053285714,-3981042,-4069751.574,-3866107.862,0.5360209,1800
5868,2024/4/9 2:31,60.05,60.01,60.05,60.01,33756,1712601060,,,,,,,,,,,92.57150211,40.83909149,33.66146144,60.063,0.053,0.000883186,TRUE,75.55585652,67.04803708,92.57149538,27.40273131,0.001449435,0.000652803,0.056785714,-3806058,-3777363.993,-3857455.086,0.5360209,2040
5894,2024/4/9 3:08,59.98,59.85,59.98,59.85,120692,1712603280,,,,,,,,,,,49.53999729,46.62975759,34.37298955,60.12,0.27,0.004511278,TRUE,49.56947245,49.58421033,49.53999669,-6.235603423,0.000876653,-0.001282723,0.055071429,-3985802,-3909183.882,-3887158.05,0.5315014,2220
