,dt,open,close,high,low,vol,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw5,jw30
52,2024-04-03 22:23:00,900.31,901.48,901.62,900.31,221372.0,,,,,,,,,,,,
53,2024-04-03 22:24:00,901.55,901.11,901.55,900.6,116715.0,,,,,,,,,,,,
54,2024-04-03 22:25:00,901.67,901.91,902.35,901.67,224076.0,,,,,,,,,,1.0,,
55,2024-04-03 22:26:00,901.88,901.9,902.11,901.63,107977.0,,,,,,,,,,,,
56,2024-04-03 22:27:00,902.14,903.66,903.66,902.14,230847.0,,,,,,,,,,,,
57,2024-04-03 22:28:00,902.74,903.16,903.33,902.74,175256.0,,,,,,,,,,,,
58,2024-04-03 22:29:00,902.89,902.91,903.14,902.81,102408.0,,,,,,,,,,,,
59,2024-04-03 22:30:00,903.4,901.65,903.4,901.65,190464.0,,,,,,,,,,,,
60,2024-04-03 22:31:00,902.16,902.72,903.21,902.16,150966.0,,,,,,,,,,,,
61,2024-04-03 22:32:00,902.42,902.45,902.59,901.87,100201.0,,,,,,,,,,,,
62,2024-04-03 22:33:00,902.34,901.48,903.03,901.48,108995.0,,,,,,,,,,,,
63,2024-04-03 22:34:00,901.46,903.0,903.0,901.46,125130.0,,,,,,,,,,,,
64,2024-04-03 22:35:00,903.36,902.21,903.5,902.05,181276.0,,,,,,,,,,,,
65,2024-04-03 22:36:00,902.74,902.93,902.93,902.53,68987.0,,,,,,,,,,,,
66,2024-04-03 22:37:00,902.87,902.53,903.09,902.53,130235.0,,,,,,,,,,,,
67,2024-04-03 22:38:00,902.5,901.77,902.5,901.64,105454.0,,,,,,,,,,,,
68,2024-04-03 22:39:00,901.94,900.1,901.94,900.03,226075.0,,,,,,,,,,,,
69,2024-04-03 22:40:00,900.42,900.86,901.32,900.42,111275.0,,,,,,,,,,,,
70,2024-04-03 22:41:00,900.97,900.98,901.11,900.65,80323.0,,,,,,,,,,,,
71,2024-04-03 22:42:00,901.3,900.53,901.72,900.53,111951.0,,,,,,,,,,,,
72,2024-04-03 22:43:00,900.35,900.72,900.82,900.3,76087.0,,,,,,,,,,,,
73,2024-04-03 22:44:00,900.48,901.26,901.29,900.48,73339.0,,,,,,,,,,,,
74,2024-04-03 22:45:00,901.25,901.14,901.88,901.14,84139.0,,,,,,,,,,,,
75,2024-04-03 22:46:00,901.3,901.32,901.46,900.93,81192.0,,,,,,,,,,,,
76,2024-04-03 22:47:00,901.44,900.74,901.44,900.74,77572.0,,,,,,,,,,,,
77,2024-04-03 22:48:00,901.0,901.33,901.72,901.0,87529.0,,,,,,,,,,,,
